[ERROR 2019-01-25 20:39:32]statusCode error, expected_code is 401, statusCode is 405 
[INFO 2019-01-25 20:39:53]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-25 20:39:53]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-25 20:39:53]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-25 20:39:53]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-25 20:39:54]get cookies error, please checkout!!!
[ERROR 2019-01-25 20:39:54]statusCode error, expected_code is 401, statusCode is 405 
[INFO 2019-01-25 20:40:25]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-25 20:40:25]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-25 20:40:25]解析yaml, Path:D:\API_Automation/Params/Yaml/Collections.yaml
[INFO 2019-01-25 20:40:25]解析yaml, Path:D:\API_Automation/Params/Yaml/Personal.yaml
[ERROR 2019-01-25 20:40:25]get cookies error, please checkout!!!
[ERROR 2019-01-25 20:40:25]statusCode error, expected_code is 401, statusCode is 405 
